IDKlienta;Imie;Nazwisko;Adres;Miasto;Region;KodPocztowy;Kraj;NrTelefonu
94;Gordon L.;Hee;115 Leary Wy.;Seattle;WA;88117;USA;(206) 555-0157
95;Hanying;Feng;537 Orchard Ave.;Victoria;BC;V8C 3Z1;Canada;(604) 555-0170
96;Sandra I.;Martinez;780 West Blvd.;Arlington;WA;88223;USA;(360) 555-0129
97;Chris;McGurk;12 Pike St.;Everett;WA;88208;USA;(360) 555-0126
98;Karen;Berg;PO Box 69;Yakima;WA;88902;USA;(509) 555-0188
99;Mike;Nash;78 Roux Rd.;Seattle;WA;88124;USA;(206) 555-0119
100;Nicole;Holliday;82 E. South Way;Seattle;WA;88122;USA;(206) 555-0149
101;Ben;Miller;23 High Pass Dr.;Granada Hills;CA;81344;USA;(408) 555-0124
102;Lola;Jacobsen;998 Kirk Rd.;Bellingham;WA;88227;USA;(360) 555-0147
103;Jeff;Price;87 Prince St.;Seattle;WA;88199;USA;(206) 555-0108
104;Frank;Miller;18 Elm St.;Tulalip;WA;88271;USA;(360) 555-0123
105;Mark;Wistrom;722 Prospect Blvd.;Seattle;WA;88105;USA;(206) 555-0189
106;Ryan;Danner;33 Neptune Circle;Langley;WA;88260;USA;(360) 555-0175
107;Cecilia;Cornejo;778 Ancient Rd.;Bellevue;WA;88007;USA;(425) 555-0178
108;Jeff;Smith;17 Wilken Rd.;La Conner;WA;88257;USA;(360) 555-0101
109;Anne;Hellung-Larsen;City Center Plaza, 516 Main St.;Elgin;OR;87827;USA;(503) 555-0158
110;Chris;Meyer;722 DaVinci Blvd.;Kirkland;WA;88033;USA;(425) 555-0125
111;Paula;Bento;6778 Cypress Pkwy.;Oak Harbor;WA;88277;USA;(360) 555-0189
112;John;Fredericksen;43 rue St. Laurent;Montr‚al;Qu‚bec;H1P 1G4;Canada;(514) 555-0167
