IDZamowienia;IDKlienta;PrzedstKonta;DataZamowienia;DataWysylki;WyslanePrzez;KosztWysylki;NazwaWysylki;AdresWysylki;MiastoWysylki;RegionWysylki;KodPocztowyWysylki;KrajWysylki;DataWymagana
11098;20;4;2010-01-22 00:00:00.000;2010-01-23 00:00:00.000;NULL;18,5;Kim Hightower;72 West St.;Portland;OR;67823;USA;2010-01-27 00:00:00.000
11099;21;4;2010-01-22 00:00:00.000;2010-01-23 00:00:00.000;5;9,95;Bob Kelly;6 Cranbrook Hollow;Duvall;WA;33782;USA;2010-01-27 00:00:00.000
11100;22;7;2010-01-23 00:00:00.000;2010-01-24 00:00:00.000;2;16,5;Erik Gavriluk;79 S. Wyatt St.;Clinton;WA;36728;USA;2010-01-28 00:00:00.000
11101;23;6;2010-01-23 00:00:00.000;2010-01-24 00:00:00.000;3;3,25;Steven Levy;507 20th Ave. E.;Seattle;WA;73293;USA;NULL
11102;24;7;2010-01-23 00:00:00.000;2010-01-24 00:00:00.000;3;12,45;Kevin Kennedy;566 Queen Anne Way;Redmond;WA;55548;USA;2010-01-28 00:00:00.000
11103;25;4;2010-01-23 00:00:00.000;2010-01-24 00:00:00.000;1;21,5;Randall Boseman;55 Grizzly Peak Rd.;Butte;MT;39201;USA;2010-01-28 00:00:00.000
11104;26;7;2010-01-23 00:00:00.000;2010-01-25 00:00:00.000;3;8,5;Deanna Meyer;722 DaVinci Blvd.;Kirkland;WA;44892;USA;2010-01-28 00:00:00.000
11105;27;7;2010-01-23 00:00:00.000;2010-01-25 00:00:00.000;3;2,95;Ted Bremer;311 87th Pl.;Beaverton;OR;77293;USA;NULL
11106;28;6;2010-01-24 00:00:00.000;2010-01-25 00:00:00.000;3;14,5;Dale Washburn;98 Forrest Way;Redmond;WA;53203;USA;NULL
11107;29;4;2010-01-24 00:00:00.000;2010-01-25 00:00:00.000;2;4,5;Jeff Price;87 Prince St.;Seattle;WA;32992;USA;NULL
11108;30;6;2010-01-24 00:00:00.000;2010-01-25 00:00:00.000;4;2,95;Michael Matey;12 Pike St.;Everett;WA;39203;USA;2010-01-30 00:00:00.000
11109;31;6;2010-01-25 00:00:00.000;2010-01-26 00:00:00.000;1;2,95;James Wilson;99 18th St. N.;Seattle;WA;11283;USA;NULL
11110;32;6;2010-01-24 00:00:00.000;2010-01-25 00:00:00.000;4;14,5;Jo Berry;407 Sunny Way;Kirkland;WA;20192;USA;NULL
11111;33;7;2010-01-24 00:00:00.000;2010-01-25 00:00:00.000;5;25;David Pelton;193 Upper Mountain Ave.;Monroe;WA;73822;USA;NULL
11112;34;4;2010-01-25 00:00:00.000;2010-01-26 00:00:00.000;2;12,95;Prasanna Samarawickrama;17331 Fairhaven St.;Seattle;WA;81733;USA;2010-01-30 00:00:00.000
11113;35;6;2010-01-25 00:00:00.000;2010-01-26 00:00:00.000;2;21,95;Meng Phua;2222 Montrose Ct.;Snohomish;WA;72233;USA;2010-01-30 00:00:00.000
11114;36;4;2010-01-25 00:00:00.000;2010-01-26 00:00:00.000;2;10,95;Achim Hepp;115 Leary Wy.;Seattle;WA;85637;USA;2010-01-30 00:00:00.000
11115;37;4;2010-01-25 00:00:00.000;2010-01-26 00:00:00.000;3;11,95;Roger Van Houten;6565 Bentwood Circle;Redmond;WA;66382;USA;2010-01-30 00:00:00.000
11116;38;4;2010-01-26 00:00:00.000;2010-01-29 00:00:00.000;4;4,75;Mike Tiano;5540 Rosebud Place;Victoria;BC;Y3B 2X4;Canada;NULL
11117;39;6;2010-01-26 00:00:00.000;2010-01-29 00:00:00.000;4;3,5;Kate Dresen;1630 Hillcrest Way;Carmel Valley;CA;68492;USA;NULL
11118;40;4;2010-01-26 00:00:00.000;2010-01-29 00:00:00.000;1;8,4;Don Funk;1815 Yolo St.;Seattle;WA;48721;USA;NULL
11119;41;6;2010-01-26 00:00:00.000;2010-01-29 00:00:00.000;4;18,5;Andrew Gray;48 Aurora Hwy.;Seattle;WA;37622;USA;2010-01-31 00:00:00.000
11120;42;6;2010-01-26 00:00:00.000;2010-01-29 00:00:00.000;1;2,95;Ann Hellung-Larser;City Center Plaza, 516 Main St.;Elgin;OR;48293;USA;2010-01-31 00:00:00.000
11121;43;6;2010-01-29 00:00:00.000;2010-01-30 00:00:00.000;4;2,95;Garth Fort;23 W. 48th St. #2;Redmond;WA;26372;USA;NULL
11122;44;4;2010-01-29 00:00:00.000;2010-01-30 00:00:00.000;2;12,95;William Hollands;18 Canyon Rd.;Newcastle;WA;42933;USA;NULL
11123;45;4;2010-01-29 00:00:00.000;2010-01-30 00:00:00.000;1;6,95;Robin Hjellen;89 Jefferson Way, Suite 2;Portland;OR;66172;USA;NULL
11124;46;6;2010-01-29 00:00:00.000;2010-01-30 00:00:00.000;3;4,95;Kathie Flood;8887 Western Ave.;Glendale;CA;32891;USA;2010-02-03 00:00:00.000
11125;47;4;2010-01-29 00:00:00.000;2010-01-30 00:00:00.000;3;12,95;David Campbell;22 Market St.;San Francisco;CA;41102;USA;2010-02-03 00:00:00.000
11126;48;7;2010-01-29 00:00:00.000;2010-01-30 00:00:00.000;1;4,25;Fukiko Ogisu;978 Carnegie Ave.;Seattle;WA;12893;USA;2010-02-03 00:00:00.000
11127;49;6;2010-01-29 00:00:00.000;2010-01-30 00:00:00.000;3;3,25;Sandra Martinez;780 West Blvd.;Arlington;WA;28394;USA;2010-02-03 00:00:00.000
11128;50;6;2010-01-29 00:00:00.000;2010-01-31 00:00:00.000;1;6,95;Yoshi Tannamuri;1900 Oak St.;Vancouver;BC;V3F 2T1;Canada;2010-02-03 00:00:00.000
11129;51;4;2010-01-30 00:00:00.000;2010-01-31 00:00:00.000;4;4,25;Chris Cannoy;89 W. Hilltop Dr.;Palo Alto;CA;43201;USA;NULL
11130;52;6;2010-01-30 00:00:00.000;2010-01-31 00:00:00.000;2;5,25;Gail A. Erickson;908 W. Capital Way;Tacoma;WA;30293;USA;NULL
11131;53;6;2010-01-30 00:00:00.000;2010-01-31 00:00:00.000;3;4,95;Scott Culp;14 E. University Way;Seattle;WA;11923;USA;NULL
11132;54;4;2010-01-30 00:00:00.000;2010-01-31 00:00:00.000;4;21,5;Mike Danseglio;55 Newton;Seattle;WA;12938;USA;NULL
11133;55;7;2010-01-30 00:00:00.000;2010-01-31 00:00:00.000;5;29,95;Jack Gode;612 E. 2nd;Pocatello;ID;38271;USA;NULL
11134;56;4;2010-01-30 00:00:00.000;2010-01-31 00:00:00.000;2;22;Helge Hoeing;431 Freemont St.;Bellevue;WA;33200;USA;NULL
11135;57;7;2010-01-30 00:00:00.000;2010-01-31 00:00:00.000;3;14,95;Stephen Yuan;7316 Taylor Landing Rd.;Duvall;WA;77238;USA;NULL
11136;58;4;2010-01-31 00:00:00.000;2010-02-01 00:00:00.000;3;2,95;Sergey Klimov;333 Baseline Ave.;Kenmore;WA;56789;USA;2010-02-03 00:00:00.000
11137;59;6;2010-01-31 00:00:00.000;2010-02-01 00:00:00.000;3;19,95;Adam Tratt;46 E. Orange St.;Bellevue;WA;88973;USA;2010-02-05 00:00:00.000
11138;60;6;2010-01-31 00:00:00.000;2010-02-01 00:00:00.000;1;12,95;Peter Houston;11 Skyline Blvd.;Kirkland;WA;19203;USA;2010-02-05 00:00:00.000
11139;61;4;2010-01-31 00:00:00.000;2010-02-01 00:00:00.000;2;3,75;Karen Berg;PO Box 69;Yakima;WA;11203;USA;NULL
11140;62;4;2010-02-01 00:00:00.000;2010-02-02 00:00:00.000;3;12,25;Terry Adams;1932 52nd Ave.;Vancouver;BC;V3G 2T1;Canada;NULL
11141;63;6;2010-02-01 00:00:00.000;2010-02-02 00:00:00.000;3;2,95;Mark Wistrom;722 Prospect Blvd.;Seattle;WA;32893;USA;NULL
11142;64;6;2010-02-01 00:00:00.000;2010-02-02 00:00:00.000;3;3,95;Jose Lugo;23 Tsawassen Blvd.;Tsawassen;BC;T2G 8M4;Canada;NULL
11143;65;6;2010-02-01 00:00:00.000;2010-02-02 00:00:00.000;4;8,5;Qin Hong;234 Samuel Pl.;Carnation;WA;72831;USA;NULL
11144;66;4;2010-02-01 00:00:00.000;2010-02-03 00:00:00.000;3;3,5;John Fredericksen;43 rue St. Laurent;Montréal;Québec;H1K 1C3;Canada;NULL
11145;67;7;2010-02-01 00:00:00.000;2010-02-03 00:00:00.000;5;23;Jon Morris;490 Fulton Dr.;Vancouver;BC;V3H 2K1;Canada;NULL
11146;68;4;2010-02-02 00:00:00.000;2010-02-03 00:00:00.000;1;3,95;Richard Lum;187 Suffolk Ln.;Boise;ID;92033;USA;2010-02-07 00:00:00.000
11147;70;7;2010-02-02 00:00:00.000;2010-02-03 00:00:00.000;5;6,95;Sunil Koduri;1522 Ballard Rd.;Seattle;WA;23456;USA;2010-02-07 00:00:00.000
11148;71;6;2010-02-02 00:00:00.000;2010-02-03 00:00:00.000;1;9,95;Suki White;87 Pauline Dr.;Seattle;WA;27839;USA;NULL
11149;72;6;2010-02-02 00:00:00.000;2010-02-03 00:00:00.000;3;30;Steve Alboucq;130 17th St.;Vancouver;BC;V3Y 2K1;Canada;2010-02-07 00:00:00.000
11150;73;6;2010-02-02 00:00:00.000;2010-02-03 00:00:00.000;4;9,25;Ron Gabel;507 - 20th Ave. E., Apt. 2A;Seattle;WA;66732;USA;2010-02-07 00:00:00.000
11151;74;6;2010-02-03 00:00:00.000;2010-02-05 00:00:00.000;NULL;32;Molly Clark;785 Beale St.;Sidney;BC;V3U 2Y5;Canada;NULL
11152;75;7;2010-02-03 00:00:00.000;2010-02-07 00:00:00.000;5;31,5;Pat Coleman;876 Western Ave.;Seattle;WA;10293;USA;NULL
11153;77;6;2010-02-03 00:00:00.000;2010-02-07 00:00:00.000;3;6,75;Neil Charney;1842 10th Avenue;Sidney;BC;V3X 2Y5;Canada;NULL
11154;78;4;2010-02-03 00:00:00.000;2010-02-06 00:00:00.000;2;9,5;Jim Glynn;12 Linden Terrace;Walla Walla;WA;48928;USA;NULL
11155;79;4;2010-02-06 00:00:00.000;2010-02-07 00:00:00.000;2;28;Tommy Hartono;66 Cactus St.;Seattle;WA;67283;USA;NULL
11156;80;4;2010-02-06 00:00:00.000;2010-02-07 00:00:00.000;3;3,25;Darlene Mangione;77 Olive Ave.;Provo;UT;40392;USA;NULL
11157;81;7;2010-02-06 00:00:00.000;2010-02-08 00:00:00.000;5;4;Jenny Sax;98 N. Hyde St.;San Francisco;CA;41950;USA;NULL
11158;82;6;2010-02-06 00:00:00.000;2010-02-08 00:00:00.000;1;2,95;Shane Kim;33 Hilo Loop SW;Kirkland;WA;43293;USA;NULL
11159;83;7;2010-02-06 00:00:00.000;2010-02-07 00:00:00.000;2;8,95;Ketan Dalal;33 Neptune Circle;Langley;WA;44021;USA;NULL
11160;84;7;2010-02-06 00:00:00.000;2010-02-08 00:00:00.000;5;34;Helmut Hornig;82 E. South Way;Seattle;WA;29302;USA;NULL
11161;85;4;2010-02-07 00:00:00.000;2010-02-08 00:00:00.000;3;12,95;Brian Fleming;537 Orchard Ave.;Victoria;BC;Y3C 2W4;Canada;NULL
11162;86;6;2010-02-07 00:00:00.000;2010-02-08 00:00:00.000;2;3,5;Patti Mintz;47 Eucalyptus Dr.;Escondido;CA;26371;USA;NULL
11163;87;4;2010-02-07 00:00:00.000;2010-02-09 00:00:00.000;4;9,45;Eric Miller;23 High Pass Dr.;Granada Hills;CA;33216;USA;NULL
11164;88;6;2010-02-07 00:00:00.000;2010-02-09 00:00:00.000;1;3,45;Lola Jacobson;998 Kirk Rd.;Bellingham;WA;14233;USA;NULL
11165;89;4;2010-02-07 00:00:00.000;2010-02-09 00:00:00.000;2;4,25;David Johnson;9878 Jefferson Circle;Seattle;WA;39920;USA;NULL
